Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,51803.000000,52305.000000,49588.000000,49723.000000,49723.000000,18633100
2016-05-23,49709.000000,50357.000000,48695.000000,49051.000000,49051.000000,12736100
2016-05-30,49051.000000,50634.000000,48200.000000,50619.000000,50619.000000,17117200
2016-06-06,50627.000000,51812.000000,49421.000000,49422.000000,49422.000000,16467700
2016-06-13,49419.000000,50191.000000,48067.000000,49534.000000,49534.000000,19661400
2016-06-20,49539.000000,51673.000000,49539.000000,50105.000000,50105.000000,17775000
2016-06-27,50106.000000,52346.000000,48954.000000,52233.000000,52233.000000,19098900
2016-07-04,52241.000000,53166.000000,50825.000000,53141.000000,53141.000000,15187900
2016-07-11,53143.000000,55649.000000,53143.000000,55578.000000,55578.000000,19215100
2016-07-18,55573.000000,57171.000000,55355.000000,57002.000000,57002.000000,18043200
2016-07-25,57006.000000,57474.000000,55993.000000,57308.000000,57308.000000,18603500
2016-08-01,57309.000000,58030.000000,55696.000000,57661.000000,57661.000000,19550900
2016-08-08,57655.000000,58753.000000,56735.000000,58298.000000,58298.000000,17431800
2016-08-15,58316.000000,59418.000000,58081.000000,59099.000000,59099.000000,17811800
2016-08-22,59080.000000,59099.000000,57259.000000,57716.000000,57716.000000,16576600
2016-08-29,57717.000000,59655.000000,57506.000000,59616.000000,59616.000000,17025900
2016-09-05,59616.000000,60310.000000,57961.000000,58000.000000,58000.000000,12812200
2016-09-12,57998.000000,58595.000000,56459.000000,57080.000000,57080.000000,17758800
2016-09-19,57083.000000,59462.000000,57083.000000,58697.000000,58697.000000,15757000
2016-09-26,58697.000000,59621.000000,57411.000000,58367.000000,58367.000000,14354100
2016-10-03,58370.000000,61275.000000,58367.000000,61109.000000,61109.000000,17798600
2016-10-10,61130.000000,62039.000000,60243.000000,61767.000000,61767.000000,15148800
2016-10-17,61768.000000,64372.000000,61719.000000,64108.000000,64108.000000,18429400
2016-10-24,64141.000000,64728.000000,63084.000000,64308.000000,64308.000000,19257200
2016-10-31,64312.000000,65291.000000,61491.000000,61598.000000,61598.000000,16419000
2016-11-07,61601.000000,64767.000000,58921.000000,59184.000000,59184.000000,27417600
2016-11-14,59183.000000,61493.000000,58322.000000,59962.000000,59962.000000,16985100
2016-11-21,59963.000000,62550.000000,59963.000000,61559.000000,61559.000000,15297700
2016-11-28,61559.000000,62934.000000,58092.000000,60316.000000,60316.000000,20460200
2016-12-05,60322.000000,61936.000000,59396.000000,60501.000000,60501.000000,16585800
2016-12-12,60517.000000,60517.000000,57575.000000,58389.000000,58389.000000,17943800
2016-12-19,58390.000000,58600.000000,56829.000000,57937.000000,57937.000000,13497000
2016-12-26,57941.000000,60248.000000,57941.000000,60227.000000,60227.000000,6384900
2017-01-02,60227.000000,62409.000000,59371.000000,61665.000000,61665.000000,12665600
2017-01-09,61680.000000,64342.000000,61307.000000,63652.000000,63652.000000,15514500
2017-01-16,63652.000000,64694.000000,63456.000000,64521.000000,64521.000000,13990200
2017-01-23,64519.000000,66594.000000,64500.000000,66034.000000,66034.000000,12885000
2017-01-30,66025.000000,66025.000000,64163.000000,64954.000000,64954.000000,14658200
2017-02-06,64957.000000,66292.000000,63740.000000,66125.000000,66125.000000,14546900
2017-02-13,66125.000000,68456.000000,66125.000000,67748.000000,67748.000000,16937400
2017-02-20,67756.000000,69488.000000,66452.000000,66662.000000,66662.000000,15634700
2017-02-27,66661.000000,67398.000000,65594.000000,66786.000000,66786.000000,8128200
2017-03-06,66786.000000,66892.000000,64203.000000,64675.000000,64675.000000,16897100
2017-03-13,64674.000000,66554.000000,64152.000000,64210.000000,64210.000000,16803100
2017-03-20,64232.000000,65136.000000,62496.000000,63854.000000,63854.000000,17396000
2017-03-27,63829.000000,65775.000000,63030.000000,64984.000000,64984.000000,14470000
2017-04-03,64989.000000,66211.000000,63762.000000,64593.000000,64593.000000,13654100
2017-04-10,64593.000000,64928.000000,62826.000000,62826.000000,62826.000000,13628800
2017-04-17,62828.000000,64591.000000,62828.000000,63761.000000,63761.000000,9114000
2017-04-24,63761.000000,65436.000000,63761.000000,65403.000000,65403.000000,15538700
2017-05-01,65404.000000,66877.000000,64721.000000,65710.000000,65710.000000,13483300
2017-05-08,65705.000000,68429.000000,65295.000000,68222.000000,68222.000000,14821700
2017-05-15,68227.000000,68792.000000,60315.000000,62639.000000,62639.000000,27447400
2017-05-22,62638.000000,64170.000000,60925.000000,64085.000000,64085.000000,22600900
2017-05-29,64055.000000,64107.000000,62161.000000,62511.000000,62511.000000,14661400
2017-06-05,62503.000000,63637.000000,62010.000000,62211.000000,62211.000000,14109600
2017-06-12,62219.000000,62475.000000,61269.000000,61626.000000,61626.000000,14912200
2017-06-19,61620.000000,62272.000000,60544.000000,61087.000000,61087.000000,15887100
2017-06-26,61088.000000,63038.000000,61088.000000,62900.000000,62900.000000,14197700
2017-07-03,62901.000000,63485.000000,62035.000000,62322.000000,62322.000000,12139800
2017-07-10,62322.000000,65624.000000,62322.000000,65436.000000,65436.000000,14740300
2017-07-17,65431.000000,65604.000000,64599.000000,64684.000000,64684.000000,11469900
2017-07-24,64695.000000,65873.000000,64678.000000,65497.000000,65497.000000,10924300
2017-07-31,65503.000000,67277.000000,65503.000000,66898.000000,66898.000000,14142300
2017-08-07,66898.000000,68500.000000,66650.000000,67359.000000,67359.000000,14329900
2017-08-14,67364.000000,68950.000000,67226.000000,68715.000000,68715.000000,15460500
2017-08-21,68713.000000,71506.000000,68514.000000,71074.000000,71074.000000,15423200
2017-08-28,71074.000000,72217.000000,70516.000000,71923.000000,71923.000000,15260300
2017-09-04,71921.000000,73646.000000,71671.000000,73079.000000,73079.000000,13585500
2017-09-11,73096.000000,75820.000000,73096.000000,75757.000000,75757.000000,18118400
2017-09-18,75758.000000,76420.000000,75029.000000,75390.000000,75390.000000,16384600
2017-09-25,75381.000000,75470.000000,73125.000000,74294.000000,74294.000000,16940000
2017-10-02,74295.000000,78024.000000,73845.000000,76055.000000,76055.000000,16555600
2017-10-09,76055.000000,77319.000000,75181.000000,76990.000000,76990.000000,12806100
2017-10-16,76985.000000,77382.000000,75366.000000,76391.000000,76391.000000,14158600
2017-10-23,76398.000000,77061.000000,75315.000000,75976.000000,75976.000000,14968600
2017-10-30,75973.000000,75973.000000,73094.000000,73915.000000,73915.000000,15412300
2017-11-06,73911.000000,74481.000000,71920.000000,72166.000000,72166.000000,18039000
2017-11-13,72167.000000,73632.000000,70825.000000,73437.000000,73437.000000,13226600
2017-11-20,73439.000000,75073.000000,73439.000000,74157.000000,74157.000000,11017300
2017-11-27,74157.000000,74989.000000,71215.000000,72264.000000,72264.000000,17832800
2017-12-04,72266.000000,74166.000000,71356.000000,72732.000000,72732.000000,15397600
2017-12-11,72775.000000,74622.000000,71798.000000,72608.000000,72608.000000,18052300
2017-12-18,72621.000000,75227.000000,72347.000000,75187.000000,75187.000000,12737400
